direction_color,rowDate,rowDateRaw,rowDateTimestamp,last_close,last_open,last_max,last_min,volume,volumeRaw,change_precent,last_closeRaw,last_openRaw,last_maxRaw,last_minRaw,change_precentRaw
redFont,"Oct 25, 2022",1666656000,2022-10-25T00:00:00Z,"114,626","116,016","116,203","114,626",14.73M,14727245,-1.20,114625.59375000000000,116015.67187500000000,116203.10937500000000,114625.59375000000000,-1.1956530083653285
redFont,"Oct 24, 2022",1666569600,2022-10-24T00:00:00Z,"116,013","119,922","119,924","115,793",13.28M,13278775,-3.27,116012.70312500000000,119921.67187500000000,119924.17187500000000,115792.68750000000000,-3.2653426821971503
greenFont,"Oct 21, 2022",1666310400,2022-10-21T00:00:00Z,"119,929","117,170","120,752","116,736",18.58M,18579758,2.35,119928.78906250000000,117170.18750000000000,120751.54687500000000,116735.71093750000000,2.3535491830790733
greenFont,"Oct 20, 2022",1666224000,2022-10-20T00:00:00Z,"117,171","116,276","117,367","116,276",16.92M,16915824,0.77,117171.10937500000000,116276.15625000000000,117366.57812500000000,116276.15625000000000,0.7713378050262771
greenFont,"Oct 19, 2022",1666137600,2022-10-19T00:00:00Z,"116,274","115,744","116,459","115,264",12.73M,12729922,0.46,116274.24218750000000,115744.36718750000000,116459.14062500000000,115264.35937500000000,0.4589232630220235
greenFont,"Oct 18, 2022",1666051200,2022-10-18T00:00:00Z,"115,743","113,627","115,795","113,627",14.74M,14744184,1.87,115743.07031250000000,113626.63281250000000,115795.04687500000000,113626.63281250000000,1.8650057972881906
greenFont,"Oct 17, 2022",1665964800,2022-10-17T00:00:00Z,"113,624","112,107","114,406","112,090",11.63M,11633000,1.38,113623.97656250000000,112106.79687500000000,114406.03125000000000,112090.35937500000000,1.3844921597796067
redFont,"Oct 14, 2022",1665705600,2022-10-14T00:00:00Z,"112,072","114,301","114,712","111,631",13.10M,13096071,-1.95,112072.34375000000000,114300.67968750000000,114712.03125000000000,111631.39843750000000,-1.9490360216786786
redFont,"Oct 13, 2022",1665619200,2022-10-13T00:00:00Z,"114,300","114,819","115,367","112,690",14.58M,14583685,-0.46,114300.09375000000000,114819.20312500000000,115366.95312500000000,112690.11718750000000,-0.4589712346774577
redFont,"Oct 11, 2022",1665446400,2022-10-11T00:00:00Z,"114,827","115,928","115,928","114,297",13.14M,13137901,-0.96,114827.11718750000000,115927.71875000000000,115927.71875000000000,114296.52343750000000,-0.9604254655635339
redFont,"Oct 10, 2022",1665360000,2022-10-10T00:00:00Z,"115,941","116,377","116,841","115,261",11.43M,11429884,-0.37,115940.64062500000000,116377.14843750000000,116840.60937500000000,115261.11718750000000,-0.37345515906517923
redFont,"Oct 07, 2022",1665100800,2022-10-07T00:00:00Z,"116,375","117,560","117,960","115,924",13.62M,13616547,-1.01,116375.25000000000000,117560.46875000000000,117960.39843750000000,115924.32812500000000,-1.008480583123657
greenFont,"Oct 06, 2022",1665014400,2022-10-06T00:00:00Z,"117,561","117,200","118,382","117,144",14.52M,14520730,0.31,117560.82812500000000,117199.70312500000000,118382.31250000000000,117143.64843750000000,0.3097393889511464
greenFont,"Oct 05, 2022",1664928000,2022-10-05T00:00:00Z,"117,198","116,231","117,514","115,906",13.56M,13555204,0.83,117197.82031250000000,116230.85937500000000,117514.25000000000000,115906.32812500000000,0.8325751951526655
greenFont,"Oct 04, 2022",1664841600,2022-10-04T00:00:00Z,"116,230","116,147","118,280","115,837",16.08M,16078677,0.08,116230.11718750000000,116147.46093750000000,118280.10937500000000,115837.20312500000000,0.0823668093241327
greenFont,"Oct 03, 2022",1664755200,2022-10-03T00:00:00Z,"116,134","110,048","116,134","110,048",20.98M,20982926,5.54,116134.46093750000000,110047.56250000000000,116134.46093750000000,110047.56250000000000,5.541484740650303
greenFont,"Sep 30, 2022",1664496000,2022-09-30T00:00:00Z,"110,037","107,664","110,502","107,315",16.54M,16536255,2.20,110036.78906250000000,107664.35156250000000,110502.20312500000000,107315.14843750000000,2.203549703843042
redFont,"Sep 29, 2022",1664409600,2022-09-29T00:00:00Z,"107,664","108,449","108,449","106,244",14.59M,14588486,-0.73,107664.35156250000000,108448.53906250000000,108448.53906250000000,106243.52343750000000,-0.7255351160955597
greenFont,"Sep 28, 2022",1664323200,2022-09-28T00:00:00Z,"108,451","108,377","108,970","107,914",13.54M,13540547,0.07,108451.20312500000000,108376.50000000000000,108970.14843750000000,107914.00781250000000,0.06906632436028587
redFont,"Sep 27, 2022",1664236800,2022-09-27T00:00:00Z,"108,376","109,122","110,161","108,120",14.52M,14517502,-0.68,108376.35156250000000,109121.85937500000000,110161.07031250000000,108120.25781250000000,-0.6761768709548172
redFont,"Sep 26, 2022",1664150400,2022-09-26T00:00:00Z,"109,114","111,713","111,713","109,022",13.13M,13126981,-2.33,109114.15625000000000,111712.70312500000000,111712.70312500000000,109021.61718750000000,-2.3289804056715244
